수행1,수행2,수행3,지필,총점
100,100,100,54.1,81.64
70,94,80,23.4,58.16
100,100,75,47.1,73.84
90,0,60,25.7,40.28
90,100,85,47.9,74.16
100,100,100,88,95.2
100,100,80,56.7,78.68
70,0,75,39.6,44.84
70,100,75,34.1,62.64
60,0,85,18.5,36.4
100,95,75,43.2,71.28
70,0,70,20.2,36.08
90,95,80,57.4,75.96
100,95,75,33.3,67.32
100,100,75,30.9,67.36
90,90,85,62.2,77.88
60,0,60,16,30.4
60,0,0,8.4,15.36
100,83,70,21.3,59.12
60,0,40,18.9,27.56
90,83,75,45.4,67.76
100,100,80,39.4,71.76
90,100,70,50.3,72.12
100,0,75,44.3,52.72
70,0,90,53,53.2
90,0,95,53.4,58.36
100,95,90,55,79
90,90,60,27.1,58.84
100,100,95,56.5,81.6
100,85,80,50.5,73.2
90,100,85,34.6,68.84
70,100,60,21.8,54.72
100,95,75,34.5,67.8
90,85,90,40.9,69.36
70,94,55,34.6,57.64
80,95,65,38.9,63.56
100,100,85,52.2,77.88
90,100,85,38.7,70.48
80,99,70,49.9,69.76
70,0,75,6,31.4
100,100,85,66.8,83.72
100,95,100,56,81.4
80,83,65,53.1,66.84
80,95,65,43.1,65.24
70,89,75,32,59.6
70,95,55,18.4,51.36
90,100,85,30.6,67.24
90,100,85,52.3,75.92
100,100,75,43.3,72.32
90,100,75,40.4,69.16
60,0,70,30.5,38.2
100,100,90,55.6,80.24
60,0,70,19.7,33.88
100,99,85,39,72.4
100,95,90,70.9,85.36
90,0,95,56.4,59.56
90,100,85,33.2,68.28
90,90,70,24.1,59.64
100,100,75,45.6,73.24
100,100,80,41.3,72.52
100,100,85,29.3,68.72
100,100,80,30.4,68.16
100,100,95,61,83.4
90,100,70,27.6,63.04
100,95,100,85.8,93.32
70,98,75,28.6,60.04
60,0,40,27.6,31.04
90,100,85,93,92.2
80,94,70,45.7,67.08
90,100,75,48.8,72.52
100,100,95,71.4,87.56
100,100,85,73.1,86.24
90,90,80,45.1,70.04
100,94,70,37,67.6
70,0,70,26,38.4
90,80,70,24.1,57.64
80,95,55,45.7,64.28
100,100,90,81,90.4
60,0,40,31.5,32.6
90,100,75,38.6,68.44
100,100,70,40.9,70.36
70,90,75,23.4,56.36
70,95,65,12.6,51.04
100,100,80,45.1,74.04
100,89,75,12.6,57.84
100,100,90,79.6,89.84
90,0,70,45.5,50.2
80,90,75,29,60.6
90,90,85,49.8,72.92
100,100,70,44.4,71.76
90,100,70,44.4,69.76
70,90,65,18.6,52.44
80,83,65,28.8,57.12
90,100,85,45.3,73.12
90,99,90,30.3,67.92
70,100,75,10.5,53.2
100,100,75,33.1,68.24
90,100,75,48.7,72.48
90,99,85,31.8,67.52
60,0,70,16.8,32.72
100,0,65,30.4,45.16
90,95,65,21.5,58.6
